feature_a,feature_b,spearman_rho,mz_a,mz_b,rt_a,rt_b,mz_diff,rt_diff,candidate_isomer,candidate_isotope_or_adduct,high_corr_near_duplicate,high_corr_other,relation_type
FT-245,FT-152,0.3573479152426521,1083.02130840629,1088.69277311038,1473.1330249701502,1455.33623852908,5.671464704089885,17.796786441070253,False,True,False,False,candidate_isotope_or_adduct
FT-245,FT-127,0.3381818181818182,1083.02130840629,1089.3621822179891,1473.1330249701502,1455.0379438086263,6.340873811699112,18.09508116152392,False,True,False,False,candidate_isotope_or_adduct
FT-245,FT-123,0.3710184552289815,1083.02130840629,1089.0265712685955,1473.1330249701502,1455.280496632148,6.005262862305472,17.85252833800223,False,True,False,False,candidate_isotope_or_adduct
FT-243,FT-133,-0.15053998632946,1083.0184165320716,1088.3554957275571,1438.918439562102,1455.6188085752144,5.337079195485558,16.700369013112322,False,True,False,False,candidate_isotope_or_adduct
FT-243,FT-242,0.255228981544771,1083.0184165320716,1083.0169631809986,1438.918439562102,1422.690822712629,0.0014533510729961563,16.22761684947318,True,False,False,False,candidate_isomer
FT-243,FT-151,-0.1426930963773069,1083.0184165320716,1088.6951060782058,1438.918439562102,1438.8803038529063,5.676689546134185,0.03813570919578524,False,True,False,False,candidate_isotope_or_adduct
FT-243,FT-244,0.4063431305536569,1083.0184165320716,1083.0144831519058,1438.918439562102,1455.407052190095,0.003933380165790368,16.488612627993007,True,False,False,False,candidate_isomer
FT-243,FT-152,-0.19639097744360903,1083.0184165320716,1088.69277311038,1438.918439562102,1455.33623852908,5.674356578308334,16.417798966977898,False,True,False,False,candidate_isotope_or_adduct
FT-243,FT-127,-0.19849624060150375,1083.0184165320716,1089.3621822179891,1438.918439562102,1455.0379438086263,6.34376568591756,16.11950424652423,False,True,False,False,candidate_isotope_or_adduct
FT-243,FT-123,-0.17700615174299386,1083.0184165320716,1089.0265712685955,1438.918439562102,1455.280496632148,6.00815473652392,16.36205707004592,False,True,False,False,candidate_isotope_or_adduct
FT-238,FT-241,0.562241968557758,1083.34221048445,1083.3479141235127,1423.037280138564,1473.3785589320328,0.0057036390626308275,50.341278793468746,True,False,False,False,candidate_isomer
FT-238,FT-151,-0.22706766917293233,1083.34221048445,1088.6951060782058,1423.037280138564,1438.8803038529063,5.3528955937556475,15.84302371434228,False,True,False,False,candidate_isotope_or_adduct
FT-238,FT-240,0.7287491455912508,1083.34221048445,1083.3466638903149,1423.037280138564,1455.299982043751,0.004453405864751403,32.26270190518699,True,False,False,False,candidate_isomer
FT-110,FT-198,0.791907040328093,1397.397689304656,1398.406658551712,1341.878177208506,1341.7948458373571,1.0089692470560294,0.08333137114891542,False,True,False,False,candidate_isotope_or_adduct
FT-202,FT-206,0.7563636363636363,1033.9870057402484,1034.6560763743712,1386.1519996372765,1386.0386461317642,0.6690706341228179,0.11335350551235024,False,True,False,False,candidate_isotope_or_adduct
FT-202,FT-200,0.3206015037593985,1033.9870057402484,1039.6606356714726,1386.1519996372765,1386.5689310879638,5.673629931224241,0.4169314506873434,False,True,False,False,candidate_isotope_or_adduct
FT-202,FT-203,0.8156937799043062,1033.9870057402484,1033.9851251097311,1386.1519996372765,1419.5994173936797,0.0018806305172347493,33.44741775640318,True,False,False,False,candidate_isomer
FT-202,FT-235,0.7347095010252905,1033.9870057402484,1034.9871234609543,1386.1519996372765,1385.9991044260155,1.00011772070593,0.15289521126101135,False,True,False,False,candidate_isotope_or_adduct
FT-202,FT-204,0.040710868079289135,1033.9870057402484,1033.9838278235356,1386.1519996372765,1455.7532616121457,0.0031779167127297114,69.6012619748692,True,False,False,False,candidate_isomer
