sample,class,order,batch,total_signal_raw,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,corr_to_class_median,PC1,PC2,PC3,PC4,PC5,pca_distance_to_class_centroid,log10_total_signal_plus1_robust_z_within_class,detected_features_robust_z_within_class,zero_fraction_robust_z_within_class,corr_to_class_median_robust_z_within_class,pca_distance_to_class_centroid_robust_z_within_class,flag_low_total_signal,flag_low_detected_features,flag_high_zero_fraction,flag_low_corr_to_class_median,flag_high_pca_distance,n_review_flags,recommend_exclude,review_tier
20241106-297-Dunn-3,Dunn,83,1,840788.577978865,5.924687319749109,250,0.9920634920634921,0.007936507936507908,0.9904385826613882,1.8875012224637633,-5.300719338181772,-2.3241086807685005,5.873895679464072,0.14081041912962342,6.7682971684600535,0.1714071259114032,0.0,0.0,-0.14508079300306229,-0.17797903691852854,False,False,False,False,False,0,False,keep
20241106-297-Dunn-16,Dunn,91,1,918139.0739949836,5.9629089434260685,251,0.996031746031746,0.003968253968253954,0.9744955662926162,1.147911670710267,-3.290210538218723,0.26412431080037196,8.992344303610079,2.400549817745096,10.559081854651813,0.6223579742453742,0.6782523220157747,-0.6782523220157727,-2.954338161047289,0.9104806588796431,False,False,False,False,False,0,False,keep
20241106-297-Dunn-22,Dunn,97,1,853343.8115383565,5.931124552257318,250,0.9920634920634921,0.007936507936507908,0.988469606786403,1.133698887676581,-6.621350436514915,-2.677196728383742,7.49031850220742,1.2028692229417663,8.15225840490832,0.24735563833029856,0.0,0.0,-0.49202643091495263,0.21940202033541542,False,False,False,False,False,0,False,keep
20241106-297-French-2,French,16,1,772713.2424050746,5.888018917086402,251,0.996031746031746,0.003968253968253954,0.9911252753433702,7.453422126076265,7.605924644823215,-1.1518950567602315,-5.805225609465724,-5.531789366397374,9.937480675503556,0.05790930058431581,0.0,0.0,0.27574267788992024,1.9532875154141622,False,False,False,False,False,0,False,keep
20241106-297-French-18,French,20,1,684719.2692267313,5.835513184129958,251,0.996031746031746,0.003968253968253954,0.9879705675587703,6.701856889639579,9.847929410549973,1.0305960034431618,-7.844469448419171,1.6759077704006191,10.734122581291922,-1.172385381744046,0.0,0.0,-0.05074428639954106,2.380558749678912,False,False,False,False,False,0,False,keep
20241106-297-French-25,French,22,1,824147.3272928225,5.916005381512169,252,1.0,0.0,0.9956651833594057,8.150786967372026,6.861506965625528,0.8314631719087854,-5.116154674454404,-1.9596557467992461,6.885686367005156,0.7136776599890904,0.6745,-0.6745,0.7455867609281135,0.31648695114576486,False,False,False,False,False,0,False,keep
20241106-297-French-7,French,23,1,769267.4423821433,5.886077916786625,252,1.0,0.0,0.9961188552994775,8.820009015648857,6.1592102893803045,-0.11141064719657812,-4.323226257093176,-1.1163845137570534,6.580243622873207,0.012428508054574652,0.6745,-0.6745,0.7925381696197273,0.15266566916924262,False,False,False,False,False,0,False,keep
20241106-297-French-13,French,25,1,766300.9017272723,5.884399903344283,251,0.996031746031746,0.003968253968253954,0.9964023065281506,7.509254739062262,8.007265696740392,1.8167282040509087,-5.557011288958186,-0.11506996798514951,7.384441130704868,-0.026890074864758255,0.0,0.0,0.8218730993477253,0.5839892780168447,False,False,False,False,False,0,False,keep
20241106-297-French-16,French,27,1,802447.0067492332,5.904416902617823,251,0.996031746031746,0.003968253968253954,0.9960168728468333,7.97031398286423,4.834480018280175,1.0868260162108454,-3.0839104539196116,-4.606372004040071,5.80403869486084,0.4421407599744666,0.0,0.0,0.7819838033683886,-0.2636443883666086,False,False,False,False,False,0,False,keep
20241106-297-French-11,French,31,1,860629.2462416728,5.9348166049873345,252,1.0,0.0,0.9947900839312012,7.9287659067370795,7.322388467723318,2.124849238999584,-4.146944013138749,0.40215384614406957,5.972771616307389,1.154455207629183,0.6745,-0.6745,0.6550209858155479,-0.17314610666221075,False,False,False,False,False,0,False,keep
20241106-297-French-9,French,35,1,767390.6774937417,5.885017084882961,252,1.0,0.0,0.9949115630292038,7.0866096538917995,7.555290154256581,3.5508163853159984,-3.8233434749533246,2.317252129372138,6.338017807212885,-0.012428508054595463,0.6745,-0.6745,0.6675930985561053,0.02275017956723575,False,False,False,False,False,0,False,keep
20241106-297-French-19,French,40,1,808372.1695864677,5.907611890575682,250,0.9920634920634921,0.007936507936507908,0.9966814453766459,7.5525900800599945,4.6742293493730385,2.0684497663265953,-2.170791800775317,-1.747914665779029,3.266487359697999,0.5170045219548605,-0.6745,0.6745,0.8507617322998386,-1.6246356732930913,False,False,False,False,False,0,False,keep
