sample,total_signal,log10_total_signal_plus1,detected_features,detection_rate,zero_fraction,mean_feature_intensity_nonzero,class,id,order,batch,spearman_corr_to_class_median,log10_total_signal_plus1_robust_z,detected_features_robust_z,zero_fraction_robust_z,spearman_corr_to_class_median_robust_z,outlier_total_signal,outlier_detected_features,outlier_zero_fraction,outlier_class_profile,any_outlier_flag
20241106-297-QC9,773821.3997962214,5.888641297066661,249,0.9880952380952381,0.011904761904761904,3107.716465045063,QC,20241106-297-QC9,86,1,0.9817196282288955,0.044939134880503225,-1.349,1.349,-0.5737424635279121,False,False,False,False,False
20241106-297-LMU-22,637874.279138511,5.804735771390515,250,0.9920634920634921,0.007936507936507936,2551.4971165540437,LMU,20241106-297-LMU-22,87,1,0.9788697329931602,-1.1738359404590368,-0.6745,0.6745,-0.8500498826946455,False,False,False,False,False
20241106-297-French-1,706041.9803082936,5.848831139497359,251,0.996031746031746,0.003968253968253968,2812.91625620834,French,20241106-297-French-1,88,1,0.9944353949598723,-0.5333258530307602,0.0,0.0,0.6590960787828909,False,False,False,False,False
20241106-297-LMU-4,639898.5183062506,5.806111783247672,249,0.9880952380952381,0.011904761904761904,2569.8735674949835,LMU,20241106-297-LMU-4,89,1,0.9882316903192212,-1.153848592291442,-1.349,1.349,0.057624980113283424,False,False,False,False,False
20241106-297-French-4,924310.5119350762,5.965818362036653,252,1.0,0.0,3667.8988568852224,French,20241106-297-French-4,90,1,0.9762187704400045,1.165979524238649,0.6745,-0.6745,-1.1070700749408025,False,False,False,False,False
20241106-297-Dunn-16,918139.0739949836,5.9629089434260685,251,0.996031746031746,0.003968253968253968,3657.924597589575,Dunn,20241106-297-Dunn-16,91,1,0.9770931203250587,1.123718578279077,0.0,0.0,-1.0222987622417512,False,False,False,False,False
20241106-297-LMU-15,830495.4703598503,5.919337791024021,249,0.9880952380952381,0.011904761904761904,3335.323174135944,LMU,20241106-297-LMU-15,92,1,0.984337418512321,0.490823019571754,-1.349,1.349,-0.31993844011564604,False,False,False,False,False
20241106-297-French-22,672997.2259765817,5.82801391942517,250,0.9920634920634921,0.007936507936507936,2691.9889039063273,French,20241106-297-French-22,93,1,0.9563546808558817,-0.8357077135505258,-0.6745,0.6745,-3.032963791405655,False,False,False,False,False
20241106-297-LMU-16,843317.4334815406,5.925991593356655,246,0.9761904761904762,0.023809523809523808,3428.119648298946,LMU,20241106-297-LMU-16,94,1,0.9493368277760195,0.5874732505774108,-3.3725,3.3725,-3.713369459752175,False,False,False,True,True
20241106-297-French-23,745072.4021995909,5.8721990601307406,250,0.9920634920634921,0.007936507936507936,2980.2896087983654,French,20241106-297-French-23,95,1,0.9433663376733543,-0.19389362850237332,-0.6745,0.6745,-4.292229584412964,False,False,False,True,True
20241106-297-LMU-18,657632.7857344358,5.8179841168512105,244,0.9682539682539683,0.031746031746031744,2695.2163349771963,LMU,20241106-297-LMU-18,96,1,0.9678146259113614,-0.9813962518108083,-4.7215,4.7215,-1.9218816006053474,False,True,True,False,True
20241106-297-Dunn-22,853343.8115383565,5.931124552257318,250,0.9920634920634921,0.007936507936507936,3413.3752461534286,Dunn,20241106-297-Dunn-22,97,1,0.990874068519543,0.6620323731197815,-0.6745,0.6745,0.3138128890014377,False,False,False,False,False
20241106-297-French-26,689082.7614467236,5.838272015700239,251,0.996031746031746,0.003968253968253968,2745.3496471981002,French,20241106-297-French-26,98,1,0.993331396166354,-0.6867030805452645,0.0,0.0,0.5520594924637717,False,False,False,False,False
20241106-297-Dunn-27,691384.8792837156,5.839720505360008,249,0.9880952380952381,0.011904761904761904,2776.646101541026,Dunn,20241106-297-Dunn-27,99,1,0.9719248043684673,-0.6656629514240076,-1.349,1.349,-1.523385267281492,False,False,False,False,False
20241106-297-QC10,772916.6486879904,5.888133224027497,250,0.9920634920634921,0.007936507936507936,3091.6665947519587,QC,20241106-297-QC10,100,1,0.9862822275980362,0.03755908748082235,-0.6745,0.6745,-0.13138232320725737,False,False,False,False,False
20241106-297-QC11,680908.6181935065,5.8330894688513695,252,1.0,0.0,2702.0183261647076,QC,20241106-297-QC11,101,1,0.9825705549178698,-0.761982495998324,0.6745,-0.6745,-0.4912421125036285,False,False,False,False,False
20241106-297-Blank4,20.828865893087954,1.3390311727605226,5,0.01984126984126984,0.9801587301587301,4.1657731786175916,B,20241106-297-Blank4,102,1,-0.012724776554267311,-66.04071347659185,-165.927,165.92700000000002,-96.98864345533192,True,True,True,True,True
20241106-297-Blank5,7.272072168699102,0.9176143147163885,1,0.003968253968253968,0.996031746031746,7.272072168699102,B,20241106-297-Blank5,103,1,-0.005645529563763977,-72.16203097949989,-168.625,168.625,-96.30228543028504,True,True,True,True,True
20241106-297-Blank6,9.998864733202147,1.041347861017324,2,0.007936507936507936,0.9920634920634921,4.999432366601074,B,20241106-297-Blank6,104,1,0.9999920635865446,-70.36473144529504,-167.9505,167.9505,1.1978347482429377,True,True,True,False,True
