feature,detection_rate__all,detection_rate__B,detection_rate__SS,detection_rate__dQC,detection_rate__QC,detection_rate__Dunn,detection_rate__French,detection_rate__LMU,detection_rate__biological,detection_rate__qc_like,detection_rate__blank,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-142,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1223.287004668688,1223.356662280608,1223.2239895857,0.0347578187101029,1299.8451740769872,1340.5209657420266,1302.243180167931,1297.343779084556,1283.3566960044554,1.2104519752257064
FT-149,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1264.301168475248,1264.3726695538803,1264.2328619236057,0.0369738887775996,1498.8110275470938,1512.298849795731,1501.6547552339002,1496.0694294737173,1483.2695644459832,1.3381313997308846
FT-150,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1265.276619401272,1265.3482895517168,1265.213020467754,0.0356112029110038,1499.076621782328,1513.241326649982,1501.4315327110053,1496.6076603409624,1483.3374252319345,1.197063759265388
FT-154,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1263.7971017854209,1263.8715515041586,1263.7320792002329,0.037321139261873,1498.895810560801,1516.8788947229823,1501.5387958090012,1496.1383324478263,1479.1927665212909,1.3203674931810594
FT-155,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1266.2831822007336,1266.3496637437588,1266.2194012278928,0.0351803559518064,1499.1248349190344,1514.2912847345538,1501.8993996529623,1496.2190622803143,1483.236571225258,1.3516557316872444
FT-157,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1263.2947685123595,1263.368664598244,1263.2276740087248,0.0374424281621028,1498.9586431862058,1519.8445044172583,1501.829279831422,1496.1558304650562,1479.1106853079289,1.3746438578061395
FT-158,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1256.286883804324,1256.3617691443733,1256.218970839692,0.0384284633284264,1499.1705919535325,1512.5175795444216,1501.7481985790696,1496.5087130770617,1486.488871019942,1.2082867332128768
FT-159,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1343.8406591266526,1343.9145274628254,1343.7677461186618,0.0377960318667136,1551.4018781172863,1565.4921889631703,1553.8324037844404,1548.6513125167294,1538.0750452329032,1.2893645633100164
FT-160,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1254.7781749513174,1254.8523767229926,1254.7118032564333,0.0370579768691196,1499.4061441213764,1520.9206245256487,1501.9742033461912,1496.7452153750164,1480.487733923874,1.258887658077959
FT-161,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1255.783773964013,1255.857464327852,1255.718137993478,0.0376269232141806,1499.2176641397284,1516.2742759870457,1501.9539524350391,1496.516673083489,1484.1305376135774,1.3130847980307403
FT-162,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1254.277029107562,1254.349588244185,1254.211046464982,0.0362667749806767,1499.404825285124,1520.6643017478634,1501.897377148848,1496.650283258094,1481.8052038939109,1.2653251053731978
FT-163,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1337.3318321701493,1337.4086088050117,1337.2605286062494,0.0385999135719712,1551.0732220065731,1564.003391265867,1553.8833102803744,1548.545409600503,1539.332274119059,1.2550125304137447
FT-164,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1344.339916651195,1344.4162181739332,1344.2731293168692,0.0370421980230278,1551.2785241791908,1565.3491908853705,1553.5953896955382,1548.733487286708,1538.2206331599846,1.2805126239551534
FT-165,0.9411764705882353,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1255.2798171824015,1255.3525416489088,1255.2149199475878,0.036872816699603,1499.3447722912745,1520.15945308811,1501.9008236691704,1496.6776349502495,1481.9525590833746,1.2738417443216894
