feature,blank_mean_intensity,blank_median_intensity,blank_detection_rate,qc_mean_intensity,qc_median_intensity,qc_detection_rate,bio_mean_intensity,bio_median_intensity,bio_detection_rate,blank_to_qc_ratio,blank_to_bio_ratio,log10_blank_to_qc_ratio,log10_blank_to_bio_ratio,blank_dominant_flag,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-201,0.0,0.0,0.0,234.61268382121654,233.98996537106052,1.0,248.3427020923971,253.55528146529903,1.0,0.004244253678459867,0.0040105444900065184,-2.372198666273342,-2.396796661556253,False,1560.0025678909035,1560.0923396222902,1559.9118780120905,0.0482189961015412,1385.9591274494428,1395.7667957652686,1388.5420000753802,1383.4854303484206,1375.953470205332,1.22676144180058
FT-086,0.0,0.0,0.0,247.99778350655694,239.5557385150991,1.0,263.7941267110367,251.75015950913837,1.0,0.004016100006663982,0.0037765188088604218,-2.3961954811714152,-2.422908347968283,False,1252.3224421698592,1252.394260929982,1252.2598314863185,0.0357571265908724,1252.0492024447103,1259.1190925011254,1254.3147136599673,1249.55524604749,1244.1498037484978,1.2944815304881885
FT-197,0.0,0.0,0.0,262.8986786247949,239.5718475534667,1.0,283.3974551256097,232.84553836785744,1.0,0.003789333107733279,0.0035162058660417,-2.421437215656212,-2.4539257058768222,False,1230.809519318578,1230.877912747094,1230.7412762209678,0.0353371808666718,1266.2292769123917,1275.864038013278,1268.9682879036254,1263.3943549090618,1256.566223871141,1.2845018900553564
FT-071,0.0,0.0,0.0,312.004407713369,292.8877754533733,1.0,294.26128240970115,271.1259789358675,1.0,0.003194843188648452,0.003386830782006872,-2.495550453304007,-2.470206501695064,False,1150.7515985354444,1150.8216637168111,1150.6946579570076,0.0329001027792091,1279.6007579597722,1289.9491491550348,1281.8612304005794,1276.882566964393,1271.0001140687532,1.1438663349396818
FT-205,0.0,0.0,0.0,305.2181539913414,290.294463948975,1.0,312.0961589997192,312.40541557731245,1.0,0.0032656457070415097,0.003193906955597296,-2.486030934058371,-2.4956777398128303,False,1559.5079808864853,1559.593122537758,1559.4291321157314,0.0434378052259568,1385.8104858293589,1396.1924584706642,1388.2480646536085,1383.251170625242,1375.8304738998434,1.2375875733611723
FT-248,1.6673323080806213,0.0,0.3333333333333333,782.34377599326,849.1161410855791,1.0,860.7653152956663,867.8099257598701,1.0,0.003405059681106819,0.0030951957113352566,-2.4678752717252874,-2.509311885039436,False,925.1361960129163,925.1837228035912,925.0919226799238,0.0243451612151024,1057.851741314575,1064.927979546626,1060.4905075149256,1055.485902411153,1046.1234902046797,1.3621188340795582
FT-091,0.0,0.0,0.0,298.25374900867274,301.3833395399098,1.0,323.63290013436006,308.58598131150904,1.0,0.003341645688024509,0.0030804025087602547,-2.4760395998924176,-2.511392531580019,False,1251.314808260303,1251.384541992356,1251.24725487946,0.0341748074286253,1251.9082930023933,1258.873232105109,1254.3394561869425,1249.2792991497554,1243.48779943925,1.2740584064472709
FT-125,0.0,0.0,0.0,391.7480786464344,382.0228638056886,1.0,338.32629162402213,326.8000876223296,1.0,0.0025461614056684796,0.0029470159686535956,-2.594114069115468,-2.5306175108825655,False,1039.65820184451,1039.7156227742005,1039.6116036892988,0.0271609162775383,1455.661683126547,1466.5936145782448,1457.6419700348458,1453.1418866655522,1444.138712882998,1.1481226616014215
FT-131,0.0,0.0,0.0,396.4168665524327,370.2915358541883,1.0,340.3661325509248,322.6605780379828,1.0,0.002516249520748678,0.0029294060091061332,-2.5992462948201194,-2.5332204319051095,False,1040.328774739611,1040.3905778938313,1040.2758764608654,0.0302810872302927,1455.4224047810255,1466.6943168640173,1457.3205103985615,1452.965088839576,1443.890949958978,1.0864556546498374
FT-013,0.0,0.0,0.0,360.9056645045966,157.69569366013158,0.8125,347.408727494909,165.49084833680928,0.7341772151898734,0.0027631510033667875,0.0028701921653630567,-2.5585953806871897,-2.542089025369514,False,1210.8270502489595,1210.8965928740345,1210.757497420239,0.0348292922405459,899.7233926516836,910.3418386122776,902.5053635226112,896.73995171614,892.597834867591,1.520345058452607
