feature,n_qc_samples,qc_detection_rate,qc_mean_intensity,qc_median_intensity,qc_std_intensity,qc_cv_pct,qc_mean_intensity_batch1,qc_cv_pct_batch1,qc_order_spearman_rho,qc_order_spearman_abs,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-167,16,1.0,1510.4056100065832,1578.5532520499332,334.0640784165618,22.117507787534358,1510.4056100065832,22.117507787534358,-0.5970588235294118,0.5970588235294118,1265.77527779671,1265.8486863418618,1265.707657435392,0.0369358244064868,1499.0848223250168,1514.3265804167722,1501.8588201157356,1496.4021384769785,1481.4138917000043,1.312509119610498
FT-238,16,1.0,74.77722454767705,78.49458484545265,16.724689029594664,22.366020042548126,74.77722454767705,22.366020042548126,0.4941176470588235,0.4941176470588235,1083.34221048445,1083.4156648006433,1083.2876061219467,0.0332555834962821,1423.037280138564,1429.8039524371825,1425.2939780948373,1420.203550145215,1414.9106421837485,1.413257598599415
FT-208,16,1.0,1101.7275424408358,1141.4963405738965,247.8368373923414,22.495292878243585,1101.7275424408358,22.495292878243585,0.6941176470588235,0.6941176470588235,1034.3174542653558,1034.380541985564,1034.2613138443917,0.0295451611052212,1455.555851617301,1469.701675415041,1457.6545435811267,1453.1631563393423,1442.65215174357,1.0732159464279536
FT-076,16,1.0,20958.550936442414,21936.08551829819,4755.9741177831975,22.692285035381815,20958.550936442414,22.692285035381815,0.5,0.5,1076.70024884105,1076.7625959678255,1076.6463274354337,0.0309426276442148,1212.7298144435597,1251.1490926434903,1215.2321951852618,1209.9909453942582,1194.3964262931574,1.275060245925924
FT-030,16,1.0,4808.515277561291,5120.408048360285,1093.145795260944,22.733541065410712,4808.515277561291,22.733541065410712,0.35000000000000003,0.35000000000000003,943.6407760815548,943.6939445363817,943.5907638447396,0.0278931269507372,1013.782160621757,1034.6732477987937,1016.3046768281488,1011.0867446353868,997.308114574802,1.3509453587603917
FT-069,16,1.0,837.8789706795819,878.1201338541835,190.4899652706216,22.734782938414142,837.8789706795819,22.734782938414142,0.5323529411764706,0.5323529411764706,1150.7568385346326,1150.8215253510546,1150.6976302094158,0.0348052353991313,1199.4452906242605,1210.6137862572284,1201.2154408063195,1197.1823084180112,1184.9031991225047,1.0329515176038833
FT-066,16,1.0,1313.9452043548085,1372.036355957886,298.99358415697054,22.755407391877235,1313.9452043548085,22.755407391877235,0.4764705882352941,0.4764705882352941,1150.2523051364865,1150.3219915217664,1150.1924882958133,0.0327477740464124,1199.6136168612857,1211.804089112715,1201.579446951864,1197.0687593819969,1184.1168776425466,1.0672118534282304
FT-065,16,1.0,472.67474828403033,461.8459911124288,107.86975445723651,22.821137547296594,472.67474828403033,22.821137547296594,0.31764705882352945,0.31764705882352945,1149.7477835102598,1149.8144632764945,1149.685681984192,0.0325078453702678,1279.935188473766,1290.790366661261,1282.5930344589017,1277.339259704826,1271.8166430403594,1.2261011409371214
FT-061,16,1.0,6713.818483944544,6969.131259262773,1532.852540882433,22.831307467547767,6713.818483944544,22.831307467547767,0.3911764705882353,0.3911764705882353,1251.8151979857469,1251.8899516831436,1251.7537803186049,0.0365543323765068,1273.952845715492,1294.2930943032966,1276.2735285482115,1271.5526707894803,1260.9871710901643,1.1583630305238604
FT-123,16,1.0,1643.2145223507462,1624.4223395393942,375.3491147792939,22.842368398882446,1643.2145223507462,22.842368398882446,-0.4617647058823529,0.4617647058823529,1089.0265712685955,1089.0914068180275,1088.971235140457,0.0306282484678529,1455.280496632148,1466.5178693574048,1457.040376031163,1452.9903136270375,1444.6004065151849,1.048298112389065
