feature,n_qc_samples_qc_only,qc_detection_rate_qc_only,qc_mean_intensity_qc_only,qc_cv_pct_qc_only,qc_order_spearman_rho_qc_only,qc_order_spearman_abs_qc_only,mz,rt,n_qc_samples_dqc_only,qc_detection_rate_dqc_only,qc_mean_intensity_dqc_only,qc_cv_pct_dqc_only,qc_order_spearman_rho_dqc_only,qc_order_spearman_abs_dqc_only,stable_qc_only_30,stable_dqc_only_30,stable_in_both_30,cv_gap_dqc_minus_qc,abs_drift_gap,potential_concentration_sensitive_flag
FT-077,11,1.0,14320.498383773247,15.031424338226124,-0.3181818181818182,0.3181818181818182,1077.705946239623,1212.451251396288,5,1.0,9691.320248687078,20.611026492359986,0.8999999999999998,0.8999999999999998,True,True,True,5.5796021541338625,0.5818181818181816,False
FT-078,11,1.0,849.9818739507681,18.112749990997006,-0.33636363636363636,0.33636363636363636,1077.205728818574,1164.9081193819106,5,1.0,532.8683954255258,31.76823292713288,0.8999999999999998,0.8999999999999998,True,False,False,13.655482936135872,0.5636363636363635,True
FT-079,11,1.0,71.47372902399326,29.052571686646527,-0.02727272727272728,0.02727272727272728,1077.2093617269695,1186.4594094558372,5,1.0,117.09083847592436,160.71495882434039,0.6,0.6,True,False,False,131.66238713769386,0.5727272727272728,True
FT-080,11,1.0,22748.44054958383,13.819134421297052,-0.22727272727272727,0.22727272727272727,1077.2019763854523,1212.614388815364,5,1.0,15595.423254157786,25.995833339160225,0.9999999999999999,0.9999999999999999,True,True,True,12.176698917863172,0.7727272727272726,False
FT-081,11,1.0,1296.4015670190602,23.9971556744558,-0.20909090909090913,0.20909090909090913,1225.305158770853,1299.0897146683544,5,1.0,1103.0088100869086,23.186594872331852,0.49999999999999994,0.49999999999999994,True,True,True,-0.8105608021239483,0.2909090909090908,False
FT-082,11,1.0,1707.2479471613112,16.801170677587717,-0.2545454545454546,0.2545454545454546,815.19145248803,1299.3902606601064,5,1.0,1348.5855886860672,18.13597291401099,0.8999999999999998,0.8999999999999998,True,True,True,1.334802236423272,0.6454545454545453,False
FT-083,11,1.0,3414.581546314976,12.02459699531758,-0.13636363636363638,0.13636363636363638,1224.8042649657891,1299.2791674223463,5,1.0,2676.4148540681604,14.326983051215022,0.8999999999999998,0.8999999999999998,True,True,True,2.3023860558974416,0.7636363636363634,False
FT-084,11,1.0,1021.1857077081432,27.685420829902256,-0.36363636363636365,0.36363636363636365,1224.2978759761004,1257.7376008872648,5,1.0,752.8646367541745,28.978149215084247,0.8999999999999998,0.8999999999999998,True,True,True,1.2927283851819915,0.5363636363636362,False
FT-085,11,1.0,7867.342325774453,12.571428268373124,-0.19090909090909092,0.19090909090909092,1224.2975971419808,1299.5622354883926,5,1.0,6274.8771184931775,15.778346722650824,0.8999999999999998,0.8999999999999998,True,True,True,3.2069184542777,0.7090909090909089,False
FT-086,11,1.0,273.67974762763424,24.108214680357936,-0.18181818181818182,0.18181818181818182,1252.3224421698592,1252.0492024447103,5,1.0,191.49746244018704,24.363790834139344,0.9999999999999999,0.9999999999999999,True,True,True,0.2555761537814085,0.8181818181818181,False
FT-087,11,1.0,5119.399307830376,17.566312606355147,-0.28181818181818186,0.28181818181818186,1252.3175410114536,1273.902456757388,5,1.0,3612.4092011041002,25.698384270465368,0.8999999999999998,0.8999999999999998,True,True,True,8.13207166411022,0.6181818181818179,False
FT-088,11,1.0,17559.334008635386,12.69565080845432,-0.24545454545454545,0.24545454545454545,1223.7937689750972,1299.7601011100369,5,1.0,13878.303747102811,19.438319729840664,0.8999999999999998,0.8999999999999998,True,True,True,6.742668921386345,0.6545454545454543,False
FT-089,11,1.0,2103.1511880187813,11.054873339078059,-0.5818181818181819,0.5818181818181819,1233.2816716646137,1299.4896330327,5,1.0,1877.6382172860656,16.441036097226835,0.9999999999999999,0.9999999999999999,True,True,True,5.386162758148776,0.418181818181818,False
FT-090,11,1.0,3832.54033149045,39.678373047941456,-0.9,0.9,1231.3077713436496,1298.9480323268451,5,1.0,4363.6913143601105,16.674813398123984,0.8999999999999998,0.8999999999999998,False,True,False,-23.003559649817472,2.220446049250313e-16,False
FT-091,11,1.0,324.1675238935052,23.38047400385322,-0.05454545454545456,0.05454545454545456,1251.314808260303,1251.9082930023933,5,1.0,241.24344426204135,25.16679291510423,0.9999999999999999,0.9999999999999999,True,True,True,1.786318911251012,0.9454545454545453,False
FT-092,11,1.0,6404.246451987509,16.235882150153156,-0.3454545454545455,0.3454545454545455,1251.3142498680247,1273.8054275719012,5,1.0,4618.026413516421,25.729420851991797,0.8999999999999998,0.8999999999999998,True,True,True,9.493538701838641,0.5545454545454542,False
FT-093,11,1.0,2197.9636896411716,12.64943273672477,-0.5636363636363637,0.5636363636363637,1233.7846794103978,1299.2759946740543,5,1.0,1825.5202049718398,18.06193159837938,0.8999999999999998,0.8999999999999998,True,True,True,5.412498861654612,0.3363636363636361,False
FT-094,11,1.0,6077.404169291694,64.41917972668571,0.03636363636363637,0.03636363636363637,1221.278586377492,1303.4817365710865,5,1.0,7341.627505834843,33.088858180411165,0.8999999999999998,0.8999999999999998,False,False,False,-31.330321546274547,0.8636363636363634,False
FT-095,11,1.0,2754.065463448269,19.046860160504497,-0.3545454545454546,0.3545454545454546,1296.8385481999308,1325.9004245551305,5,1.0,1961.7317915810213,27.167415337632487,0.8999999999999998,0.8999999999999998,True,True,True,8.12055517712799,0.5454545454545452,False
FT-096,11,1.0,1880.9413801946894,15.57002018450081,-0.3272727272727273,0.3272727272727273,815.5252605920695,1299.3577408679637,5,1.0,1503.946143087735,17.857964327525284,0.8999999999999998,0.8999999999999998,True,True,True,2.2879441430244736,0.5727272727272725,False
FT-097,11,1.0,6850.099684755889,64.65713593100216,0.018181818181818184,0.018181818181818184,1221.7827177901245,1303.3882126599997,5,1.0,8309.007180310718,32.44294694875562,0.8999999999999998,0.8999999999999998,False,False,False,-32.21418898224654,0.8818181818181816,False
FT-098,11,1.0,1394.409432596258,19.242625304570392,-0.39090909090909093,0.39090909090909093,1234.285360466548,1298.978903962394,5,1.0,1188.3914732667822,16.230916055304007,0.9999999999999999,0.9999999999999999,True,True,True,-3.011709249266385,0.6090909090909089,False
FT-099,11,1.0,5102.800492770336,18.346776537376563,-0.33636363636363636,0.33636363636363636,1296.3371434985418,1325.9803275270754,5,1.0,3565.4729164054793,23.529391161107263,0.8999999999999998,0.8999999999999998,True,True,True,5.1826146237307,0.5636363636363635,False
FT-100,11,1.0,7089.887151734502,17.33546937221776,-0.26363636363636367,0.26363636363636367,1222.7890111601405,1257.9887283196858,5,1.0,4642.087154446509,27.769337850664286,0.8999999999999998,0.8999999999999998,True,True,True,10.433868478446527,0.6363636363636361,False
