task_name,feature_space,model_name,feature,n_selected,mean_coef,mean_abs_coef,positive_coef_fraction,n_folds,selection_frequency,sign_consistency
French_vs_Dunn,representative,linear_svm,FT-110,50,-0.14356834273598773,0.14356834273598773,0.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-040,50,-0.13683495499075335,0.13683495499075335,0.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-178,50,0.13153778111989467,0.13153778111989467,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-046,50,0.12208856995161145,0.12208856995161145,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-174,50,0.1075893866201375,0.1075893866201375,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-206,50,0.10453017440866304,0.10453017440866304,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-005,50,0.09733470180170359,0.09733470180170359,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-179,50,0.09378014430742607,0.09378014430742607,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-205,50,0.07316018654010979,0.07316018654010979,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-015,50,-0.06936091652531329,0.06936091652531329,0.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-168,50,0.05020350163418935,0.05020350163418935,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-010,50,0.04659477812445823,0.04659477812445823,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-135,50,0.037971098201788636,0.037971098201788636,1.0,50,1.0,1.0
French_vs_Dunn,representative,linear_svm,FT-161,46,-0.005664205499385109,0.014218196336860655,0.32608695652173914,50,0.92,0.34782608695652173
French_vs_Dunn,representative,linear_svm,FT-031,45,-0.034880368867251654,0.034880368867251654,0.0,50,0.9,1.0
French_vs_Dunn,representative,linear_svm,FT-023,45,0.015472032505650091,0.021696247371442077,0.8,50,0.9,0.6000000000000001
French_vs_Dunn,representative,linear_svm,FT-243,42,-0.01753886669476438,0.017740619300771882,0.047619047619047616,50,0.84,0.9047619047619048
French_vs_Dunn,representative,linear_svm,FT-145,40,-0.027543911762965573,0.02805611121926286,0.025,50,0.8,0.95
French_vs_Dunn,representative,linear_svm,FT-102,15,-0.0032436202131705277,0.02216987843647039,0.4,50,0.3,0.19999999999999996
French_vs_Dunn,representative,linear_svm,FT-184,9,0.004846577897928512,0.015371835575971474,0.4444444444444444,50,0.18,0.11111111111111116
French_vs_Dunn,representative,linear_svm,FT-096,3,-0.04613762657452423,0.04613762657452423,0.0,50,0.06,1.0
French_vs_Dunn,representative,linear_svm,FT-076,3,-0.0005600925554095412,0.008056236088349848,0.3333333333333333,50,0.06,0.33333333333333337
French_vs_Dunn,representative,linear_svm,FT-066,1,-0.02980458131065705,0.02980458131065705,0.0,50,0.02,1.0
French_vs_Dunn,representative,linear_svm,FT-028,1,-0.015835645583209698,0.015835645583209698,0.0,50,0.02,1.0
French_vs_Dunn,representative,logreg_l1,FT-030,50,-2.7658552287926956,2.7658552287926956,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-046,50,0.6282704657458263,0.6282704657458263,1.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-179,50,0.329109051615016,0.329109051615016,0.92,50,1.0,0.8400000000000001
French_vs_Dunn,representative,logreg_l1,FT-178,50,0.19668369871064997,0.19668369871064997,0.96,50,1.0,0.9199999999999999
French_vs_Dunn,representative,logreg_l1,FT-174,50,0.020042085891684616,0.020042085891684616,0.24,50,1.0,0.52
French_vs_Dunn,representative,logreg_l1,FT-015,50,-0.004842773829382794,0.004842773829382794,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-005,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-010,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-021,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-040,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-110,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-135,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-168,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-205,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-206,50,0.0,0.0,0.0,50,1.0,1.0
French_vs_Dunn,representative,logreg_l1,FT-161,46,0.0,0.0,0.0,50,0.92,1.0
French_vs_Dunn,representative,logreg_l1,FT-023,45,0.0,0.0,0.0,50,0.9,1.0
French_vs_Dunn,representative,logreg_l1,FT-031,45,0.0,0.0,0.0,50,0.9,1.0
French_vs_Dunn,representative,logreg_l1,FT-243,42,0.0,0.0,0.0,50,0.84,1.0
French_vs_Dunn,representative,logreg_l1,FT-145,40,-0.0003348027741833403,0.0003348027741833403,0.0,50,0.8,1.0
French_vs_Dunn,representative,logreg_l1,FT-102,15,0.0,0.0,0.0,50,0.3,1.0
French_vs_Dunn,representative,logreg_l1,FT-184,9,0.0,0.0,0.0,50,0.18,1.0
