feature,Dunn,French,LMU,q_value__French_vs_Dunn,auc_abs__French_vs_Dunn,raw_log2_fc__French_vs_Dunn,effect_direction__French_vs_Dunn,significant_fdr_05__French_vs_Dunn,q_value__French_vs_LMU,auc_abs__French_vs_LMU,raw_log2_fc__French_vs_LMU,effect_direction__French_vs_LMU,significant_fdr_05__French_vs_LMU,q_value__LMU_vs_Dunn,auc_abs__LMU_vs_Dunn,raw_log2_fc__LMU_vs_Dunn,effect_direction__LMU_vs_Dunn,significant_fdr_05__LMU_vs_Dunn,n_strong_tasks,clinical_profile,profile_note
FT-050,8.731302385403577,8.880328698130135,8.38089759311823,6.788751309474513e-09,1.0,0.13140416885507183,French > Dunn,True,8.212233262943234e-09,1.0,0.7849390440111154,French > LMU,True,1.1976173508458883e-08,1.0,-0.6535348751560435,LMU < Dunn,True,3,cancer-specific high,"French is highest, while LMU stays below healthy."
FT-051,4.8757855948926085,4.68851734163564,4.6001000478011,3.538488977726333e-05,0.8520710059171597,-0.4174296046596713,French < Dunn,True,0.07197715454069754,0.6602564102564104,0.26309312967531356,French > LMU,False,3.505668184732216e-06,0.905448717948718,-0.680522734334985,LMU < Dunn,True,2,healthy-associated,"Healthy samples are highest, while both disease groups are lower."
FT-052,7.463094622079659,7.346352302924814,7.1888187202438925,9.241756783774908e-07,0.9171597633136095,-0.26149067119514324,French < Dunn,True,1.054753603406394e-08,0.9935897435897436,0.28221977197305786,French > LMU,True,1.1976173508458883e-08,1.0,-0.543710443168201,LMU < Dunn,True,3,benign-depleted,LMU is specifically low for this feature.
FT-053,7.355670911147103,7.0886091051995646,7.4913672459027945,6.788751309474513e-09,1.0,-0.4682482154395655,French < Dunn,True,8.212233262943234e-09,1.0,-0.5154302971073015,French < LMU,True,1.6009566735976373e-06,0.9182692307692308,0.047182081667735916,LMU > Dunn,True,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-054,7.798829313431046,7.810658923746794,7.687338652199438,0.09382517317225315,0.6464497041420117,-0.016222253016292765,French > Dunn,False,2.9495401058727973e-08,0.9759615384615384,0.27004998266771385,French > LMU,True,4.384949333090562e-07,0.9391025641025641,-0.28627223568400656,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-055,7.749110549355651,7.777042286349397,7.673545726978986,0.018355778565671565,0.7026627218934911,-0.015663687859547405,French > Dunn,True,1.55378960634265e-07,0.9503205128205128,0.24478824150336936,French > LMU,True,0.0001377506557647319,0.8333333333333333,-0.26045192936291683,LMU < Dunn,True,1,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-056,7.910201305295191,7.792662927208674,7.81843848412753,2.3427748862299875e-08,0.9792899408284024,-0.28228273239072305,French < Dunn,True,0.08058185026298856,0.655448717948718,0.03693886056613931,French < LMU,False,2.1717892193128136e-05,0.8717948717948718,-0.31922159295686253,LMU < Dunn,True,2,healthy-associated,"Healthy samples are highest, while both disease groups are lower."
FT-057,7.5675471811411,7.425417872931817,7.501467309284022,2.3427748862299875e-08,0.9792899408284024,-0.32960884899273996,French < Dunn,True,0.0006329178015444158,0.7948717948717948,-0.00341863449627263,French < LMU,True,0.00024826797172587103,0.8189102564102564,-0.3261902144964674,LMU < Dunn,True,1,healthy-associated,Dunn is highest overall.
FT-058,8.843090973829781,8.819862868447137,8.74467736172349,0.08709718559004824,0.6494082840236687,-0.13856579679507477,French < Dunn,False,1.3243674767527715e-06,0.9150641025641024,0.18829171680597165,French > LMU,True,3.6144446569001494e-07,0.9423076923076923,-0.32685751360104637,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-059,7.662831836443347,7.847153873814578,7.696764364131388,7.738894144086707e-09,0.9970414201183432,0.16781500050623155,French > Dunn,True,1.6754494730629925e-08,0.9855769230769231,0.3053774808420954,French > LMU,True,0.02409964370963537,0.6971153846153846,-0.13756248033586393,LMU > Dunn,True,2,cancer-specific high,French is clearly highest relative to both comparison groups.
FT-060,6.045355018967479,5.876960104085251,6.036112204878306,3.072766874113735e-05,0.8550295857988166,-0.3006229557342595,French < Dunn,True,8.422354030597061e-06,0.8830128205128205,-0.16780346586461334,French < LMU,True,0.7762448132632037,0.5272435897435898,-0.132819489869646,LMU < Dunn,False,2,cancer-specific low,French is clearly depleted relative to both comparison groups.
FT-061,8.816578277185883,8.826002269459494,8.879873080289073,0.18227857796919494,0.6168639053254438,-0.06391522272403773,French > Dunn,False,0.0003351896391236179,0.8092948717948718,0.0012603257016534511,French < LMU,True,3.7977246662366424e-06,0.9038461538461539,-0.06517554842569116,LMU > Dunn,True,0,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-062,8.029441127855746,7.9868077335392655,7.917028087992544,0.012302181426348915,0.7144970414201183,-0.1528772597405018,French < Dunn,True,0.00011506514799897856,0.8317307692307693,0.17872012126435288,French > LMU,True,2.396190223596113e-07,0.9487179487179487,-0.33159738100485464,LMU < Dunn,True,1,benign-depleted,LMU is specifically low for this feature.
FT-063,7.174460830698473,7.172220551378172,7.156964818131987,0.10851376023319055,0.6405325443786982,-0.10297915358849141,French < Dunn,False,0.8042508011494272,0.5256410256410257,0.09360943713090063,French > LMU,False,0.2154247660042225,0.6121794871794872,-0.19658859071939203,LMU < Dunn,False,0,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-064,8.958079377570792,9.05889343559703,8.760257105953738,1.5047104383833055e-08,0.9866863905325444,0.048574742750812146,French > Dunn,True,8.212233262943234e-09,1.0,0.5050042471201005,French > LMU,True,1.1976173508458883e-08,1.0,-0.4564295043692883,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-065,6.0062580180065765,5.861362590867612,6.390772187694429,8.036192937803037e-07,0.9201183431952663,-0.3452159402648839,French < Dunn,True,8.212233262943234e-09,1.0,-0.7469949246100622,French < LMU,True,1.2603413877909718e-08,0.9967948717948718,0.4017789843451784,LMU > Dunn,True,3,cancer-specific low,French is clearly lowest relative to both comparison groups.
FT-066,7.234289457414703,7.205280098516869,7.236852871226656,0.33519031096781504,0.5857988165680473,-0.1814371482122551,French < Dunn,False,0.2173359286285529,0.6137820512820513,-0.018262337052982556,French < LMU,False,0.6864826396956091,0.5384615384615384,-0.16317481115927268,LMU > Dunn,False,0,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-067,9.004498677245211,9.113539747224277,8.812014341288807,2.4375672926468654e-08,0.9778106508875739,0.03158419900014529,French > Dunn,True,8.212233262943234e-09,1.0,0.47164135810033936,French > LMU,True,1.1976173508458883e-08,1.0,-0.44005715910019416,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-068,6.021101932822623,5.7925393373769785,6.357599324219205,9.241756783774908e-07,0.9171597633136095,-0.38221859440898126,French < Dunn,True,8.212233262943234e-09,1.0,-0.7171271161840541,French < LMU,True,1.1976173508458883e-08,1.0,0.33490852177507285,LMU > Dunn,True,3,cancer-specific low,French is clearly lowest relative to both comparison groups.
FT-069,6.812233799727391,6.766317269587816,6.776379274126407,0.11574657821596825,0.6375739644970414,-0.18650175825790308,French < Dunn,False,0.7858487371872348,0.5288461538461539,0.08265587547545587,French < LMU,False,0.16918556413990965,0.6233974358974359,-0.26915763373335894,LMU < Dunn,False,0,non-specific but discriminative,"Strong separation exists, but the pattern is not cleanly attributable to one clinical interpretation."
FT-070,8.580427356215967,8.667482335675459,8.389958044324318,2.4375672926468654e-08,0.977810650887574,0.029203211103368938,French > Dunn,True,8.212233262943234e-09,1.0,0.48249078508970467,French > LMU,True,1.1976173508458883e-08,1.0,-0.4532875739863357,LMU < Dunn,True,2,benign-depleted,LMU is specifically low for this feature.
FT-071,5.5631083060075195,5.405263703431066,5.963152053226258,1.1728097797819808e-06,0.9127218934911243,-0.3988109138828393,French < Dunn,True,8.212233262943234e-09,1.0,-0.7329750516841879,French < LMU,True,1.3649752514670982e-08,0.9935897435897436,0.33416413780134857,LMU > Dunn,True,3,cancer-specific low,French is clearly lowest relative to both comparison groups.
FT-072,4.955972146994711,4.704586197686423,4.9047381645061305,9.006284986355352e-06,0.878698224852071,-0.4768253945110875,French < Dunn,True,0.002882780030806187,0.7580128205128205,-0.2936081978811696,French < LMU,True,0.6643191741819399,0.5416666666666666,-0.18321719662991798,LMU < Dunn,False,1,healthy-associated,Dunn is highest overall.
